7	0	0.442
7	1	0.468
7	2	0.489
7	3	0.487
7	4	0.477
7	5	0.471
7	6	0.471
7	7	0.469
7	8	0.465
7	9	0.463
7	10	0.462
7	11	0.45
7	12	0.449
7	13	0.437
7	14	0.419
7	15	0.406
7	16	0.394
7	17	0.384
7	18	0.373
7	19	0.366
7	20	0.361
7	21	0.358
7	22	0.345
7	23	0.336
7	24	0.338
7	25	0.346
7	26	0.355
7	27	0.385
7	28	0.4
7	29	0.417
7	30	0.431
7	31	0.374
7	32	0.329
7	33	0.304
7	34	0.29
7	35	0.264
7	36	0.217
7	37	0.182
7	38	0.185
7	39	0.216
7	40	0.257
7	41	0.283
7	42	0.291
7	43	0.291
7	44	0.294
7	45	0.293
7	46	0.297
7	47	0.306
7	48	0.305
7	49	0.301
8	0	0.445
8	1	0.461
8	2	0.47
8	3	0.474
8	4	0.479
8	5	0.479
8	6	0.472
8	7	0.446
8	8	0.444
8	9	0.451
8	10	0.453
8	11	0.444
8	12	0.429
8	13	0.421
8	14	0.413
8	15	0.403
8	16	0.407
8	17	0.402
8	18	0.394
8	19	0.384
8	20	0.372
8	21	0.364
8	22	0.35
8	23	0.343
8	24	0.336
8	25	0.335
8	26	0.337
8	27	0.337
8	28	0.351
8	29	0.356
8	30	0.348
8	31	0.311
8	32	0.279
8	33	0.239
8	34	0.193
8	35	0.193
8	36	0.203
8	37	0.234
8	38	0.269
8	39	0.3
8	40	0.311
8	41	0.318
8	42	0.315
8	43	0.315
8	44	0.312
8	45	0.307
8	46	0.311
8	47	0.311
8	48	0.307
8	49	0.303
9	0	0.446
9	1	0.446
9	2	0.445
9	3	0.45
9	4	0.447
9	5	0.438
9	6	0.434
9	7	0.427
9	8	0.422
9	9	0.42
9	10	0.421
9	11	0.424
9	12	0.423
9	13	0.432
9	14	0.454
9	15	0.461
9	16	0.458
9	17	0.446
9	18	0.431
9	19	0.422
9	20	0.399
9	21	0.372
9	22	0.358
9	23	0.357
9	24	0.354
9	25	0.352
9	26	0.352
9	27	0.346
9	28	0.332
9	29	0.314
9	30	0.293
9	31	0.193
9	32	0.193
9	33	0.193
9	34	0.23
9	35	0.266
9	36	0.302
9	37	0.317
9	38	0.321
9	39	0.334
9	40	0.337
9	41	0.333
9	42	0.327
9	43	0.32
9	44	0.318
9	45	0.314
9	46	0.311
9	47	0.311
9	48	0.31
9	49	0.313
10	0	0.452
10	1	0.457
10	2	0.458
10	3	0.466
10	4	0.452
10	5	0.439
10	6	0.429
10	7	0.424
10	8	0.422
10	9	0.422
10	10	0.426
10	11	0.436
10	12	0.448
10	13	0.465
10	14	0.49
10	15	0.513
10	16	0.509
10	17	0.492
10	18	0.465
10	19	0.432
10	20	0.401
10	21	0.381
10	22	0.38
10	23	0.389
10	24	0.388
10	25	0.372
10	26	0.344
10	27	0.326
10	28	0.312
10	29	0.274
10	30	0.193
10	31	0.215
10	32	0.247
10	33	0.292
10	34	0.317
10	35	0.344
10	36	0.364
10	37	0.36
10	38	0.354
10	39	0.348
10	40	0.344
10	41	0.345
10	42	0.335
10	43	0.336
10	44	0.333
10	45	0.319
10	46	0.311
10	47	0.317
10	48	0.321
10	49	0.324
11	0	0.483
11	1	0.486
11	2	0.472
11	3	0.454
11	4	0.444
11	5	0.438
11	6	0.429
11	7	0.422
11	8	0.42
11	9	0.423
11	10	0.428
11	11	0.437
11	12	0.446
11	13	0.462
11	14	0.474
11	15	0.49
11	16	0.494
11	17	0.493
11	18	0.472
11	19	0.444
11	20	0.427
11	21	0.428
11	22	0.411
11	23	0.393
11	24	0.359
11	25	0.327
11	26	0.308
11	27	0.289
11	28	0.239
11	29	0.193
11	30	0.234
11	31	0.291
11	32	0.352
11	33	0.411
11	34	0.442
11	35	0.443
11	36	0.436
11	37	0.397
11	38	0.377
11	39	0.371
11	40	0.366
11	41	0.361
11	42	0.358
11	43	0.357
11	44	0.358
11	45	0.351
11	46	0.348
11	47	0.343
11	48	0.343
11	49	0.342
12	0	0.514
12	1	0.497
12	2	0.487
12	3	0.464
12	4	0.44
12	5	0.43
12	6	0.429
12	7	0.422
12	8	0.419
12	9	0.42
12	10	0.423
12	11	0.427
12	12	0.432
12	13	0.443
12	14	0.441
12	15	0.44
12	16	0.445
12	17	0.444
12	18	0.44
12	19	0.449
12	20	0.446
12	21	0.431
12	22	0.39
12	23	0.347
12	24	0.306
12	25	0.289
12	26	0.272
12	27	0.208
12	28	0.215
12	29	0.241
12	30	0.299
12	31	0.361
12	32	0.43
12	33	0.482
12	34	0.519
12	35	0.512
12	36	0.506
12	37	0.458
12	38	0.429
12	39	0.418
12	40	0.405
12	41	0.397
12	42	0.388
12	43	0.379
12	44	0.378
12	45	0.381
12	46	0.379
12	47	0.375
12	48	0.371
12	49	0.372
13	0	0.536
13	1	0.512
13	2	0.469
13	3	0.458
13	4	0.434
13	5	0.423
